dominant_fate_state	velocity_self_transition
inflammatory_regeneration_bridge	0.15993714
tumor_plasticity_basin	0.122116596
tumor_plasticity_basin	0.22143634
senescence_basin	0.22483093
tumor_plasticity_basin	0.13430372
inflammatory_regeneration_bridge	0.1242429
senescence_basin	0.22487834
tumor_plasticity_basin	0.22596568
inflammatory_regeneration_bridge	0.1854516
embryonic_like_plasticity_basin	0.1064862
inflammatory_regeneration_bridge	0.08376804
senescence_basin	0.106865406
tumor_plasticity_basin	0.0407719
senescence_basin	0.20493455
inflammatory_regeneration_bridge	0.10819903
senescence_basin	0.26058662
tumor_plasticity_basin	0.1945515
tumor_plasticity_basin	0.14721861
inflammatory_regeneration_bridge	0.1576196
inflammatory_regeneration_bridge	0.13367403
senescence_basin	0.2764285
tumor_plasticity_basin	0.080881715
inflammatory_regeneration_bridge	0.12865081
senescence_basin	0.16463624
tumor_plasticity_basin	0.2759391
embryonic_like_plasticity_basin	0.21190073
inflammatory_regeneration_bridge	0.13343567
embryonic_like_plasticity_basin	0.19917767
inflammatory_regeneration_bridge	0.20042406
embryonic_like_plasticity_basin	0.16027896
inflammatory_regeneration_bridge	0.12580302
embryonic_like_plasticity_basin	0.22527798
senescence_basin	0.21109621
tumor_plasticity_basin	0.12226418
embryonic_like_plasticity_basin	0.21541387
inflammatory_regeneration_bridge	0.14993241
inflammatory_regeneration_bridge	0.18512169
inflammatory_regeneration_bridge	0.04957807
senescence_basin	0.1446071
senescence_basin	0.13440073
senescence_basin	0.05631697
inflammatory_regeneration_bridge	0.11998168
inflammatory_regeneration_bridge	0.0
senescence_basin	0.16209035
embryonic_like_plasticity_basin	0.2139284
embryonic_like_plasticity_basin	0.2730425
inflammatory_regeneration_bridge	0.15965776
senescence_basin	0.10772246
inflammatory_regeneration_bridge	0.17424338
inflammatory_regeneration_bridge	0.0
inflammatory_regeneration_bridge	0.15384659
inflammatory_regeneration_bridge	0.18934329
embryonic_like_plasticity_basin	0.21635342
tumor_plasticity_basin	0.14668244
embryonic_like_plasticity_basin	0.0873771
embryonic_like_plasticity_basin	0.15894115
inflammatory_regeneration_bridge	0.027240098
embryonic_like_plasticity_basin	0.25859904
tumor_plasticity_basin	0.18567286
tumor_plasticity_basin	0.028886229
inflammatory_regeneration_bridge	0.1512344
senescence_basin	0.085547686
senescence_basin	0.17680568
senescence_basin	0.12321401
embryonic_like_plasticity_basin	0.23372497
tumor_plasticity_basin	0.10990772
inflammatory_regeneration_bridge	0.11930823
tumor_plasticity_basin	0.25177187
inflammatory_regeneration_bridge	0.10974473
senescence_basin	0.0
inflammatory_regeneration_bridge	0.1555096
senescence_basin	0.16774112
tumor_plasticity_basin	0.16633117
embryonic_like_plasticity_basin	0.096349716
inflammatory_regeneration_bridge	0.09919247
embryonic_like_plasticity_basin	0.15160507
senescence_basin	0.12304291
tumor_plasticity_basin	0.1533164
inflammatory_regeneration_bridge	0.2605034
senescence_basin	0.21135598
inflammatory_regeneration_bridge	0.08424726
senescence_basin	0.15944926
inflammatory_regeneration_bridge	0.17630997
embryonic_like_plasticity_basin	0.20989026
senescence_basin	0.110514104
embryonic_like_plasticity_basin	0.10318509
embryonic_like_plasticity_basin	0.18661457
tumor_plasticity_basin	0.15220053
inflammatory_regeneration_bridge	0.17591341
tumor_plasticity_basin	0.13336691
senescence_basin	0.15731846
inflammatory_regeneration_bridge	0.22377858
senescence_basin	0.13424969
inflammatory_regeneration_bridge	0.11255488
embryonic_like_plasticity_basin	0.17773274
tumor_plasticity_basin	0.24812976
senescence_basin	0.12659708
embryonic_like_plasticity_basin	0.19039832
inflammatory_regeneration_bridge	0.0
senescence_basin	0.16343172
tumor_plasticity_basin	0.12117326
inflammatory_regeneration_bridge	0.10974294
tumor_plasticity_basin	0.10056621
tumor_plasticity_basin	0.17358184
inflammatory_regeneration_bridge	0.07855117
senescence_basin	0.11591679
tumor_plasticity_basin	0.15480036
inflammatory_regeneration_bridge	0.1183525
senescence_basin	0.11127791
embryonic_like_plasticity_basin	0.19786994
tumor_plasticity_basin	0.19974144
embryonic_like_plasticity_basin	0.22532246
tumor_plasticity_basin	0.14833087
tumor_plasticity_basin	0.08523458
embryonic_like_plasticity_basin	0.11127138
senescence_basin	0.22858728
inflammatory_regeneration_bridge	0.0
senescence_basin	0.09236717
senescence_basin	0.15674244
inflammatory_regeneration_bridge	0.1495896
senescence_basin	0.1734475
embryonic_like_plasticity_basin	0.110755
senescence_basin	0.20720845
senescence_basin	0.21462628
inflammatory_regeneration_bridge	0.22974291
inflammatory_regeneration_bridge	0.110017955
inflammatory_regeneration_bridge	0.11942592
inflammatory_regeneration_bridge	0.23110214
embryonic_like_plasticity_basin	0.22304651
inflammatory_regeneration_bridge	0.102244705
inflammatory_regeneration_bridge	0.12300378
senescence_basin	0.17646559
tumor_plasticity_basin	0.12754288
tumor_plasticity_basin	0.25161332
senescence_basin	0.14464727
tumor_plasticity_basin	0.20944236
inflammatory_regeneration_bridge	0.16442823
tumor_plasticity_basin	0.033765256
senescence_basin	0.13581306
inflammatory_regeneration_bridge	0.20763114
inflammatory_regeneration_bridge	0.17184089
inflammatory_regeneration_bridge	0.07174277
embryonic_like_plasticity_basin	0.16947854
senescence_basin	0.14624417
embryonic_like_plasticity_basin	0.15152065
tumor_plasticity_basin	0.061603665
tumor_plasticity_basin	0.17485614
tumor_plasticity_basin	0.12288928
tumor_plasticity_basin	0.11032015
embryonic_like_plasticity_basin	0.18886378
inflammatory_regeneration_bridge	0.12637079
senescence_basin	0.08042714
inflammatory_regeneration_bridge	0.14238334
embryonic_like_plasticity_basin	0.097106785
senescence_basin	0.09533191
inflammatory_regeneration_bridge	0.12195772
senescence_basin	0.17380032
embryonic_like_plasticity_basin	0.116848975
senescence_basin	0.17298181
senescence_basin	0.25887054
inflammatory_regeneration_bridge	0.11557236
tumor_plasticity_basin	0.08438966
senescence_basin	0.21774873
tumor_plasticity_basin	0.13681176
inflammatory_regeneration_bridge	0.15559758
tumor_plasticity_basin	0.09055218
senescence_basin	0.07028097
inflammatory_regeneration_bridge	0.24564055
tumor_plasticity_basin	0.13807705
senescence_basin	0.16237791
senescence_basin	0.17109886
inflammatory_regeneration_bridge	0.21303655
senescence_basin	0.11865726
tumor_plasticity_basin	0.13628921
senescence_basin	0.19958675
