latent_regime	bin_left	bin_right	bin_center	component_density	component_mass	weighted_component_density
embryonic_reactivation	-2.6469287150615752	-2.5601236861233923	-2.6035262005924835	1.4219409849428915e-05	0.3883486488197522	5.522088602039995e-06
embryonic_reactivation	-2.5601236861233923	-2.4733186571852093	-2.516721171654301	8.516182735390173e-05	0.3883486488197522	3.3072480583908746e-05
embryonic_reactivation	-2.4733186571852093	-2.386513628247026	-2.4299161427161176	5.717329333716536e-05	0.3883486488197522	2.2203171216063507e-05
embryonic_reactivation	-2.386513628247026	-2.299708599308843	-2.343111113777934	0.00013094320827595276	0.3883486488197522	5.085161800608964e-05
embryonic_reactivation	-2.299708599308843	-2.21290357037066	-2.2563060848397516	0.0002677433729553288	0.3883486488197522	0.00010397777711764492
embryonic_reactivation	-2.21290357037066	-2.1260985414324765	-2.169501055901568	0.0003789291526588879	0.3883486488197522	0.00014715662443349272
embryonic_reactivation	-2.1260985414324765	-2.0392935124942935	-2.0826960269633847	0.0006072277766977323	0.3883486488197522	0.00023581608660638653
embryonic_reactivation	-2.0392935124942935	-1.9524884835561105	-1.995890998025202	0.0015201745650471814	0.3883486488197522	0.0005903577383062274
embryonic_reactivation	-1.9524884835561105	-1.865683454617927	-1.9090859690870188	0.001858428911760662	0.3883486488197522	0.0007217183568098155
embryonic_reactivation	-1.865683454617927	-1.778878425679744	-1.8222809401488356	0.0022864147591290184	0.3883486488197522	0.0008879260823492934
embryonic_reactivation	-1.778878425679744	-1.692073396741561	-1.7354759112106526	0.003630328406165273	0.3883486488197522	0.001409833131306248
embryonic_reactivation	-1.692073396741561	-1.6052683678033777	-1.6486708822724694	0.004370788701710862	0.3883486488197522	0.001697389886586052
embryonic_reactivation	-1.6052683678033777	-1.5184633388651947	-1.5618658533342862	0.006696204321313359	0.3883486488197522	0.0026004619004030283
embryonic_reactivation	-1.5184633388651947	-1.4316583099270117	-1.4750608243961032	0.008864023742182248	0.3883486488197522	0.0034423316433826795
embryonic_reactivation	-1.4316583099270117	-1.3448532809888283	-1.38825579545792	0.013350292133492514	0.3883486488197522	0.005184567911390784
embryonic_reactivation	-1.3448532809888283	-1.2580482520506453	-1.3014507665197368	0.01598385644566146	0.3883486488197522	0.006207309053601515
embryonic_reactivation	-1.2580482520506453	-1.1712432231124623	-1.2146457375815538	0.018777036057756914	0.3883486488197522	0.007292036581869664
embryonic_reactivation	-1.1712432231124623	-1.084438194174279	-1.1278407086433706	0.02508126345034008	0.3883486488197522	0.009740274771631805
embryonic_reactivation	-1.084438194174279	-0.9976331652360959	-1.0410356797051874	0.025212358951648892	0.3883486488197522	0.009791185532431431
embryonic_reactivation	-0.9976331652360959	-0.9108281362979129	-0.9542306507670044	0.033478501394997	0.3883486488197522	0.013001330781257274
embryonic_reactivation	-0.9108281362979129	-0.8240231073597295	-0.8674256218288212	0.03809459802296402	0.3883486488197522	0.01479398566954968
embryonic_reactivation	-0.8240231073597295	-0.7372180784215461	-0.7806205928906378	0.04477212205418426	0.3883486488197522	0.017387193104535483
embryonic_reactivation	-0.7372180784215461	-0.6504130494833635	-0.6938155639524548	0.04800916948143976	0.3883486488197522	0.018644296099075613
embryonic_reactivation	-0.6504130494833635	-0.5636080205451801	-0.6070105350142718	0.05860723041455408	0.3883486488197522	0.02276003874255996
embryonic_reactivation	-0.5636080205451801	-0.4768029916069967	-0.5202055060760884	0.06482005344697818	0.3883486488197522	0.025172780172558095
embryonic_reactivation	-0.4768029916069967	-0.38999796266881415	-0.4334004771379054	0.06135497808161901	0.3883486488197522	0.023827122836362253
embryonic_reactivation	-0.38999796266881415	-0.3031929337306307	-0.34659544819972243	0.06570869614032598	0.3883486488197522	0.02551788336180326
embryonic_reactivation	-0.3031929337306307	-0.2163879047924473	-0.259790419261539	0.060051517729782185	0.3883486488197522	0.0233209257699363
embryonic_reactivation	-0.2163879047924473	-0.12958287585426476	-0.17298539032335603	0.05791676716553598	0.3883486488197522	0.022491898272744087
embryonic_reactivation	-0.12958287585426476	-0.04277784691608133	-0.08618036138517304	0.05750332322844746	0.3883486488197522	0.02233133787841304
embryonic_reactivation	-0.04277784691608133	0.044027182022102096	0.0006246675530103829	0.04754912606587338	0.3883486488197522	0.018465638860241985
