tumor_like_quartile	differentiation_score
other tumor cells	0.6964298766336323
other tumor cells	-0.30329669257740915
other tumor cells	-0.2435386328049648
other tumor cells	-0.11852600839402944
other tumor cells	0.3284926237883391
other tumor cells	-0.05884386875011305
other tumor cells	-0.23033106768572773
top tumor-like quartile	-0.06698727754899012
other tumor cells	-0.3025102026668596
other tumor cells	-0.19389822453628353
other tumor cells	-0.29761813599386333
other tumor cells	-0.22518689544112597
top tumor-like quartile	-0.20947025146013423
other tumor cells	-0.26455504805953417
top tumor-like quartile	-0.09808918870525596
other tumor cells	-0.2897358647099248
top tumor-like quartile	-0.036799301335841084
other tumor cells	-0.22831775523998118
top tumor-like quartile	-0.28279379856439285
top tumor-like quartile	-0.26998305320739746
top tumor-like quartile	-0.16007367917049078
other tumor cells	-0.25443284305525415
other tumor cells	0.09774778507373949
other tumor cells	-0.27056682257004727
other tumor cells	-0.11940269411346058
other tumor cells	-0.21027400611359395
other tumor cells	-0.25805946632667826
top tumor-like quartile	-0.10837778633023487
top tumor-like quartile	0.08084320139001916
other tumor cells	-0.16872660024666494
other tumor cells	-0.40404637654622394
top tumor-like quartile	-0.3285996001443745
other tumor cells	-0.24835692511664498
top tumor-like quartile	-0.29176931028012876
other tumor cells	-0.17320622338189018
other tumor cells	-0.14424938625759548
top tumor-like quartile	-0.4282646179199219
other tumor cells	-0.2005498203230493
other tumor cells	-0.11370891994900173
other tumor cells	0.02601252661810982
other tumor cells	-0.1374199508148947
top tumor-like quartile	-0.34668877684039834
other tumor cells	-0.07715829507804206
other tumor cells	-0.2411224459424431
other tumor cells	-0.1312478589422909
other tumor cells	-0.1827474641211239
other tumor cells	-0.2795838882893692
top tumor-like quartile	-0.3912148887728467
other tumor cells	-0.18849273964210791
other tumor cells	-0.24936818487850235
other tumor cells	-0.24732909967869887
other tumor cells	-0.12732038380187236
other tumor cells	-0.23417446937090086
top tumor-like quartile	-0.26299607017893856
other tumor cells	-0.3343643847806954
other tumor cells	0.5494715608196494
top tumor-like quartile	0.796656549712758
