tumor_like_quartile	stemness_score
top tumor-like quartile	1.0506499505812124
top tumor-like quartile	1.1359392289192445
top tumor-like quartile	0.8289792076233895
other tumor cells	-0.38508042981547697
other tumor cells	-0.3361759801064768
other tumor cells	1.252736126222918
other tumor cells	-0.22540301276791486
other tumor cells	1.0848171826331847
other tumor cells	-0.5467812322801159
top tumor-like quartile	1.2061812954564248
top tumor-like quartile	1.477396926572246
other tumor cells	0.40708620702066733
other tumor cells	1.0702403014706028
top tumor-like quartile	1.1777444462622366
other tumor cells	0.8845667569868026
top tumor-like quartile	-0.1389349300053812
other tumor cells	-0.002844742228907904
other tumor cells	0.034728430932567944
top tumor-like quartile	0.6252717664164882
other tumor cells	-0.524017333984375
other tumor cells	-0.5465114962670111
other tumor cells	-0.18612192523094914
other tumor cells	-0.4475525579144878
top tumor-like quartile	-0.5962152173442226
other tumor cells	-0.6077442784463206
other tumor cells	-0.3772375968194777
other tumor cells	1.2452141969434676
other tumor cells	-0.007333483426801624
other tumor cells	0.7844075618251678
top tumor-like quartile	0.9467178160144437
other tumor cells	-0.3329485616376323
other tumor cells	-0.29060618435182883
other tumor cells	0.5725351956582838
other tumor cells	-0.2883955740159558
other tumor cells	0.5153866314118909
top tumor-like quartile	0.8433555787609469
other tumor cells	-0.42899793194186303
other tumor cells	0.6921139840156801
top tumor-like quartile	1.6054791019808863
other tumor cells	-0.4229500678277785
top tumor-like quartile	0.9290617127572337
top tumor-like quartile	-0.13418564392674354
other tumor cells	0.41011018137778005
other tumor cells	-0.41434417232390375
other tumor cells	0.2171518245050984
other tumor cells	-0.5313253095073085
other tumor cells	0.4852885738495858
other tumor cells	-0.4195020737186555
other tumor cells	-0.14454342761347372
other tumor cells	0.5028945842096882
top tumor-like quartile	1.272541546052502
other tumor cells	0.022435626676005682
other tumor cells	-0.4915327871999433
other tumor cells	1.1343310110030635
top tumor-like quartile	0.9494596950469478
other tumor cells	0.5115474731691422
other tumor cells	-0.05899201766137152
top tumor-like quartile	1.111105215164923
other tumor cells	0.7651276203893846
other tumor cells	1.111066468300358
top tumor-like quartile	1.3257831604250017
other tumor cells	-0.007438385678875836
other tumor cells	-0.26951677760770243
top tumor-like quartile	1.5231446220028784
other tumor cells	0.8177089268161404
other tumor cells	0.9827047701804869
top tumor-like quartile	1.558149983805995
other tumor cells	-0.32756934627409906
other tumor cells	-0.6237133395287299
other tumor cells	-0.4225997617167811
top tumor-like quartile	1.2150728971727434
other tumor cells	-0.009450486590785345
other tumor cells	0.8904058740985009
other tumor cells	-0.4508007111087922
other tumor cells	-0.2235038472760108
top tumor-like quartile	0.973501447708376
other tumor cells	1.0836516311091762
top tumor-like quartile	1.1772920123992427
other tumor cells	-0.536454108453566
other tumor cells	-0.2514192827286259
other tumor cells	-0.45416419736800656
other tumor cells	-0.10171199806274905
top tumor-like quartile	0.8561049199873402
other tumor cells	-0.4204322445777155
other tumor cells	0.13959923098164218
other tumor cells	-0.4565932366155809
other tumor cells	0.4331687496554467
other tumor cells	0.2568026396536058
other tumor cells	0.3495637793694773
other tumor cells	-0.4451022609587639
other tumor cells	0.17063996003520104
other tumor cells	0.7522282138947518
other tumor cells	-0.4480634504748929
other tumor cells	1.023091769987537
other tumor cells	-0.31668961432672316
other tumor cells	0.890924669081165
top tumor-like quartile	1.6966761619813981
top tumor-like quartile	0.8499890642781411
other tumor cells	0.9994637120154596
top tumor-like quartile	1.0892216736270535
other tumor cells	-0.4598809211484848
other tumor cells	0.2607098135255998
other tumor cells	0.9564638099362773
other tumor cells	-0.20135327308408676
top tumor-like quartile	1.3588020109361216
other tumor cells	1.1660692461075322
top tumor-like quartile	-0.2176841449353003
other tumor cells	-0.09322168173328521
