edge_id	source	target	module	output_axis	target_type	base_weight	sign	empirical_edge_status	W_adult_repair	W_embryonic_reactivation	W_salamander_blastema	W_salamander_intact	mean_abs_W_across_regimes	sd_W_across_regimes	cv_W_across_regimes	sign_change_count	edge_stability_score	edge_stability_class
WGRN_002731	ACTL6A	PRR7	other_or_unassigned	nan	gene	0.11	activation_positive	measured_but_not_sparse_selected	0.11	0.11	0.11	0.11	0.11	0.0	0.0	0	1.0	stable
WGRN_002732	ACTL6A	PRRC1	other_or_unassigned	nan	gene	0.17	activation_positive	measured_but_not_sparse_selected	0.17	0.17	0.17	0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002733	ACTL6A	PSD4	other_or_unassigned	nan	gene	0.17	activation_positive	measured_but_not_sparse_selected	0.17	0.17	0.17	0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002734	ACTL6A	PSMB5	other_or_unassigned	nan	gene	0.13	activation_positive	measured_but_not_sparse_selected	0.13	0.13	0.13	0.13	0.13	0.0	0.0	0	1.0	stable
WGRN_002735	ACTL6A	PSMC3	other_or_unassigned	nan	gene	0.13	activation_positive	measured_but_not_sparse_selected	0.13	0.13	0.13	0.13	0.13	0.0	0.0	0	1.0	stable
WGRN_002736	ACTL6A	PSMC3IP	other_or_unassigned	nan	gene	0.086	activation_positive	measured_but_not_sparse_selected	0.086	0.086	0.086	0.086	0.086	0.0	0.0	0	1.0	stable
WGRN_002737	ACTL6A	PSMD1	other_or_unassigned	nan	gene	0.067	activation_positive	measured_but_not_sparse_selected	0.067	0.067	0.067	0.067	0.067	0.0	0.0	0	1.0	stable
WGRN_002738	ACTL6A	PSMD14	other_or_unassigned	nan	gene	0.107	activation_positive	measured_but_not_sparse_selected	0.107	0.107	0.107	0.107	0.107	0.0	0.0	0	1.0	stable
WGRN_002739	ACTL6A	PSMD2	other_or_unassigned	nan	gene	0.088	activation_positive	measured_but_not_sparse_selected	0.088	0.088	0.088	0.088	0.088	0.0	0.0	0	1.0	stable
WGRN_002740	ACTL6A	PSMD8	other_or_unassigned	nan	gene	0.1	activation_positive	measured_but_not_sparse_selected	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0	1.0	stable
WGRN_002741	ACTL6A	PSMG3	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002742	ACTL6A	PSMG3-AS1	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002743	ACTL6A	PSTPIP1	other_or_unassigned	nan	gene	0.21	activation_positive	learned_sparse_edge	0.21	0.21	0.21	0.21	0.21	0.0	0.0	0	1.0	stable
WGRN_002744	ACTL6A	PTDSS2	other_or_unassigned	nan	gene	0.084	activation_positive	measured_but_not_sparse_selected	0.084	0.084	0.084	0.084	0.084	0.0	0.0	0	1.0	stable
WGRN_002745	ACTL6A	PTGDS	other_or_unassigned	nan	gene	0.18	activation_positive	measured_but_not_sparse_selected	0.18	0.18	0.18	0.18	0.18	0.0	0.0	0	1.0	stable
WGRN_002746	ACTL6A	PTGER1	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002747	ACTL6A	PTGR1	other_or_unassigned	nan	gene	0.102	activation_positive	measured_but_not_sparse_selected	0.102	0.102	0.102	0.102	0.102	0.0	0.0	0	1.0	stable
WGRN_002748	ACTL6A	PTGS1	other_or_unassigned	nan	gene	0.22	activation_positive	learned_sparse_edge	0.22	0.22	0.22	0.22	0.22	0.0	0.0	0	1.0	stable
WGRN_002749	ACTL6A	PTH2	other_or_unassigned	nan	gene	0.096	activation_positive	measured_but_not_sparse_selected	0.096	0.096	0.096	0.096	0.096	0.0	0.0	0	1.0	stable
WGRN_002750	ACTL6A	PTK6	other_or_unassigned	nan	gene	0.094	activation_positive	measured_but_not_sparse_selected	0.094	0.094	0.094	0.094	0.094	0.0	0.0	0	1.0	stable
WGRN_002751	ACTL6A	PTMS	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002752	ACTL6A	PTPA	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002753	ACTL6A	PTPMT1	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002754	ACTL6A	PTPN23	other_or_unassigned	nan	gene	0.1005	activation_positive	measured_but_not_sparse_selected	0.1005	0.1005	0.1005	0.1005	0.1005	0.0	0.0	0	1.0	stable
WGRN_002755	ACTL6A	PTPN6	other_or_unassigned	nan	gene	0.17	activation_positive	measured_but_not_sparse_selected	0.17	0.17	0.17	0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002756	ACTL6A	PTPRF	other_or_unassigned	nan	gene	0.19	activation_positive	measured_but_not_sparse_selected	0.19	0.19	0.19	0.19	0.19	0.0	0.0	0	1.0	stable
WGRN_002757	ACTL6A	PTPRH	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002758	ACTL6A	PTPRN2	other_or_unassigned	nan	gene	0.16	activation_positive	measured_but_not_sparse_selected	0.16	0.16	0.16	0.16	0.16	0.0	0.0	0	1.0	stable
WGRN_002759	ACTL6A	PTPRS	other_or_unassigned	nan	gene	0.12	activation_positive	measured_but_not_sparse_selected	0.12	0.12	0.12	0.12	0.12	0.0	0.0	0	1.0	stable
WGRN_002760	ACTL6A	PTRH1	other_or_unassigned	nan	gene	0.17	activation_positive	measured_but_not_sparse_selected	0.17	0.17	0.17	0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002761	ACTL6A	PTS	other_or_unassigned	nan	gene	0.102	activation_positive	measured_but_not_sparse_selected	0.102	0.102	0.102	0.102	0.102	0.0	0.0	0	1.0	stable
WGRN_002762	ACTL6A	PUSL1	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002763	ACTL6A	PWWP2B	other_or_unassigned	nan	gene	0.1245	activation_positive	measured_but_not_sparse_selected	0.1245	0.1245	0.1245	0.1245	0.1245	0.0	0.0	0	1.0	stable
WGRN_002764	ACTL6A	PXN-AS1	other_or_unassigned	nan	gene	0.124	activation_positive	measured_but_not_sparse_selected	0.124	0.124	0.124	0.124	0.124	0.0	0.0	0	1.0	stable
WGRN_002765	ACTL6A	PXYLP1	other_or_unassigned	nan	gene	0.3	activation_positive	learned_sparse_edge	0.3	0.3	0.3	0.3	0.3	0.0	0.0	0	1.0	stable
WGRN_002766	ACTL6A	PYCARD-AS1	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002767	ACTL6A	PYCR2	other_or_unassigned	nan	gene	0.118	activation_positive	measured_but_not_sparse_selected	0.118	0.118	0.118	0.118	0.118	0.0	0.0	0	1.0	stable
WGRN_002768	ACTL6A	PYGB	other_or_unassigned	nan	gene	0.21	activation_positive	learned_sparse_edge	0.21	0.21	0.21	0.21	0.21	0.0	0.0	0	1.0	stable
WGRN_002769	ACTL6A	PYM1	other_or_unassigned	nan	gene	0.085	activation_positive	measured_but_not_sparse_selected	0.085	0.085	0.085	0.085	0.085	0.0	0.0	0	1.0	stable
WGRN_002770	ACTL6A	QRFP	other_or_unassigned	nan	gene	0.1	activation_positive	measured_but_not_sparse_selected	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0	1.0	stable
WGRN_002771	ACTL6A	QSOX2	other_or_unassigned	nan	gene	0.11	activation_positive	measured_but_not_sparse_selected	0.11	0.11	0.11	0.11	0.11	0.0	0.0	0	1.0	stable
WGRN_002772	ACTL6A	R3HCC1	other_or_unassigned	nan	gene	0.11	activation_positive	measured_but_not_sparse_selected	0.11	0.11	0.11	0.11	0.11	0.0	0.0	0	1.0	stable
WGRN_002773	ACTL6A	R3HDM1	other_or_unassigned	nan	gene	0.16	activation_positive	measured_but_not_sparse_selected	0.16	0.16	0.16	0.16	0.16	0.0	0.0	0	1.0	stable
WGRN_002774	ACTL6A	R3HDM4	other_or_unassigned	nan	gene	0.089	activation_positive	measured_but_not_sparse_selected	0.089	0.089	0.089	0.089	0.089	0.0	0.0	0	1.0	stable
WGRN_002775	ACTL6A	RAB11FIP3	other_or_unassigned	nan	gene	0.092	activation_positive	measured_but_not_sparse_selected	0.092	0.092	0.092	0.092	0.092	0.0	0.0	0	1.0	stable
WGRN_002776	ACTL6A	RAB11FIP4	other_or_unassigned	nan	gene	0.295	activation_positive	learned_sparse_edge	0.295	0.295	0.295	0.295	0.295	0.0	0.0	0	1.0	stable
WGRN_002777	ACTL6A	RAB11FIP5	other_or_unassigned	nan	gene	0.17	activation_positive	measured_but_not_sparse_selected	0.17	0.17	0.17	0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002778	ACTL6A	RAB12	other_or_unassigned	nan	gene	-0.09	repression_negative	measured_but_not_sparse_selected	-0.09	-0.09	-0.09	-0.09	0.09	0.0	0.0	0	1.0	stable
WGRN_002779	ACTL6A	RAB14	other_or_unassigned	nan	gene	0.21	activation_positive	learned_sparse_edge	0.21	0.21	0.21	0.21	0.21	0.0	0.0	0	1.0	stable
WGRN_002780	ACTL6A	RAB18	other_or_unassigned	nan	gene	0.093	activation_positive	measured_but_not_sparse_selected	0.093	0.093	0.093	0.093	0.093	0.0	0.0	0	1.0	stable
WGRN_002781	ACTL6A	RAB3A	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002782	ACTL6A	RAB40C	other_or_unassigned	nan	gene	0.16	activation_positive	measured_but_not_sparse_selected	0.16	0.16	0.16	0.16	0.16	0.0	0.0	0	1.0	stable
WGRN_002783	ACTL6A	RAB44	other_or_unassigned	nan	gene	-0.17	repression_negative	measured_but_not_sparse_selected	-0.17	-0.17	-0.17	-0.17	0.17	0.0	0.0	0	1.0	stable
WGRN_002784	ACTL6A	RAB4A	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002785	ACTL6A	RAB6B	other_or_unassigned	nan	gene	0.345	activation_positive	learned_sparse_edge	0.345	0.345	0.345	0.345	0.345	0.0	0.0	0	1.0	stable
WGRN_002786	ACTL6A	RAB7A	other_or_unassigned	nan	gene	0.14	activation_positive	measured_but_not_sparse_selected	0.14	0.14	0.14	0.14	0.14	0.0	0.0	0	1.0	stable
WGRN_002787	ACTL6A	RABIF	other_or_unassigned	nan	gene	0.1035	activation_positive	measured_but_not_sparse_selected	0.1035	0.1035	0.1035	0.1035	0.1035	0.0	0.0	0	1.0	stable
WGRN_002788	ACTL6A	RABL3	other_or_unassigned	nan	gene	0.069	activation_positive	measured_but_not_sparse_selected	0.069	0.069	0.069	0.069	0.069	0.0	0.0	0	1.0	stable
WGRN_002789	ACTL6A	RABL6	other_or_unassigned	nan	gene	0.165	activation_positive	measured_but_not_sparse_selected	0.165	0.165	0.165	0.165	0.165	0.0	0.0	0	1.0	stable
WGRN_002790	ACTL6A	RAC2	other_or_unassigned	nan	gene	0.235	activation_positive	learned_sparse_edge	0.235	0.235	0.235	0.235	0.235	0.0	0.0	0	1.0	stable
WGRN_002791	ACTL6A	RACGAP1	other_or_unassigned	nan	gene	0.092	activation_positive	measured_but_not_sparse_selected	0.092	0.092	0.092	0.092	0.092	0.0	0.0	0	1.0	stable
WGRN_002792	ACTL6A	RAD1	other_or_unassigned	nan	gene	0.13	activation_positive	measured_but_not_sparse_selected	0.13	0.13	0.13	0.13	0.13	0.0	0.0	0	1.0	stable
WGRN_002793	ACTL6A	RAD18	other_or_unassigned	nan	gene	0.102	activation_positive	measured_but_not_sparse_selected	0.102	0.102	0.102	0.102	0.102	0.0	0.0	0	1.0	stable
WGRN_002794	ACTL6A	RAD21-AS1	other_or_unassigned	nan	gene	0.085	activation_positive	measured_but_not_sparse_selected	0.085	0.085	0.085	0.085	0.085	0.0	0.0	0	1.0	stable
WGRN_002795	ACTL6A	RAE1	other_or_unassigned	nan	gene	0.099	activation_positive	measured_but_not_sparse_selected	0.099	0.099	0.099	0.099	0.099	0.0	0.0	0	1.0	stable
WGRN_002796	ACTL6A	RALB	other_or_unassigned	nan	gene	0.2	activation_positive	learned_sparse_edge	0.2	0.2	0.2	0.2	0.2	0.0	0.0	0	1.0	stable
WGRN_002797	ACTL6A	RALBP1	other_or_unassigned	nan	gene	0.095	activation_positive	measured_but_not_sparse_selected	0.095	0.095	0.095	0.095	0.095	0.0	0.0	0	1.0	stable
WGRN_002798	ACTL6A	RALGPS1	other_or_unassigned	nan	gene	0.125	activation_positive	measured_but_not_sparse_selected	0.125	0.125	0.125	0.125	0.125	0.0	0.0	0	1.0	stable
WGRN_002799	ACTL6A	RAMMET	other_or_unassigned	nan	gene	0.15	activation_positive	measured_but_not_sparse_selected	0.15	0.15	0.15	0.15	0.15	0.0	0.0	0	1.0	stable
WGRN_002800	ACTL6A	RANBP3	other_or_unassigned	nan	gene	0.089	activation_positive	measured_but_not_sparse_selected	0.089	0.089	0.089	0.089	0.089	0.0	0.0	0	1.0	stable
