stage	module	score
intact	developmental_position_score	0.7220812814417781
intact	developmental_position_score	-0.30432534123737076
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.014356670568870578
intact	developmental_position_score	0.043117331254176106
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.16466722207384982
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.28035256987016516
intact	developmental_position_score	-0.20257824527790888
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.6269228601616248
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.4572846544097911
intact	developmental_position_score	0.24198123786060927
intact	developmental_position_score	0.4728062757764621
intact	developmental_position_score	-0.10671064306692578
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.004965762119707187
intact	developmental_position_score	-0.4016751866492886
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.6323885311955432
intact	developmental_position_score	0.9139125790216213
intact	developmental_position_score	0.6683873385031005
intact	developmental_position_score	-0.566920440027773
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.0027231840368788784
intact	developmental_position_score	-0.6005492010817424
intact	developmental_position_score	2.3263921230081936
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.1217765573191742
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.1580778659467271
intact	developmental_position_score	1.0378352151813295
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.425999901915946
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.37684580799961453
intact	developmental_position_score	0.18785021151381792
intact	developmental_position_score	-0.3959244677167387
intact	developmental_position_score	-0.3666882273243354
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.4939107843352996
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.09665615287544954
intact	developmental_position_score	-0.2697701567440537
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.4404846235493343
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.5521299040467009
intact	developmental_position_score	0.1887870346285513
intact	developmental_position_score	-0.3735200592318366
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.8933778761749507
intact	developmental_position_score	1.3313060536604397
intact	developmental_position_score	-0.8253082744494096
