dpt_pseudotime	blastema_progenitor_score	blastema_positional_regeneration_score	ra_hox_positional_identity_score	senescence_sasp_score
0.05267699	0.07520491030636207	-0.16964151495381483	0.7417892189899981	-0.749593092812531
0.053039808	-0.45339748554848264	-0.0796147225620806	-0.8839781607964893	-0.749593092812531
0.05321575	1.3063974077064258	-0.21036273948290282	-0.12059558872256732	0.47995859669552876
0.053241573	-0.45906875922832985	-0.3049961771065194	0.9982085851431546	-0.749593092812531
0.053258546	0.16347057382901206	0.44981238521372835	-0.8839781607964893	0.6071597551672394
0.053280182	0.40227460805773624	-0.13088838175622022	0.32016862267281765	-0.749593092812531
0.053305972	0.1651848888483828	-0.41060941873755585	-0.8839781607964893	-0.749593092812531
0.053325143	0.3287908489062114	-0.35607409871827966	-0.8839781607964893	-0.749593092812531
0.053674847	0.9113289884086709	0.6403707975275308	1.7614158499383692	0.2793822128817741
0.05368168	-0.5650862101748043	-0.6540331184119516	-0.8839781607964893	-0.749593092812531
0.05368668	0.04567803481738974	-0.45044503674788683	-0.8839781607964893	-0.749593092812531
0.05383048	0.36804940868835356	-0.24955222940753038	-0.1925331931405231	1.9237647443931247
0.05391779	0.1416433474067566	-0.027312625713988608	0.5512033967205485	0.06928340107866739
0.054049216	0.16154813688500558	-0.09862273343165254	0.9952154549656849	-0.749593092812531
0.05420589	1.5140823032734476	0.4714077124928249	-0.09727425835180832	-0.1160358518045625
0.05430021	-0.6355860427289085	-0.6775330625966529	-0.8839781607964893	-0.749593092812531
0.054417886	-0.1638734707401193	-0.5202955386003899	-0.8839781607964893	-0.749593092812531
0.054467063	0.7566438709926068	-0.21345642468948114	-0.8839781607964893	-0.749593092812531
0.054565247	0.0957855475758429	0.5463973954760581	-0.8839781607964893	-0.749593092812531
0.054717105	-0.5720972671581074	-1.1472517887228226	-0.8839781607964893	1.2139335124532153
0.054718256	0.18644478458533295	0.26451486517735107	-0.8839781607964893	-0.749593092812531
0.05473176	0.47265659060097376	-0.30811885148669216	-0.8839781607964893	-0.749593092812531
